b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
53622,76571,86508,115780,188624,253818,464406,2032039,1834193,6448041,6937442,23670239,46606283,266492281,179948418,363341335
56640,67031,86197,119298,187619,276725,454912,991792,1740391,4444460,7540503,22649152,47732324,205849185,179347882,360837420
56069,71980,86214,175434,190516,264497,463865,1093054,1717231,4358150,6974777,23657390,46735590,225024578,180352739,366811532
56846,74872,84654,119243,173506,266364,486932,1768502,1828621,4415288,7670029,22513517,47171952,211460404,182437600,361923498
54463,72445,83438,113802,186586,292553,472197,984466,1895008,4321172,6926654,23568206,47305767,224440150,179512441,379232915
53083,72321,83227,116963,194860,266908,466359,2090716,1885931,4455538,7765601,22799152,48047294,209888307,181697812,363319359
52896,74063,84293,121404,193799,256934,491126,947026,1953515,4513930,6966089,23675230,47179296,225133438,180655781,367345589
54657,69879,80907,120706,200339,277416,438530,1054580,1889749,4715578,7686827,22785305,46569335,210634570,187401756,371693085
50184,80729,83131,117471,194523,256338,478965,1593570,1973035,4461233,7138757,23775462,48732794,226203755,184729781,364962200
54424,71501,75997,117859,185952,259877,459215,912573,1889028,4731057,7726014,22858304,48082907,212026443,184421490,373886133
48303,69841,83363,128715,191739,273458,454285,1836682,1968811,4481405,6882288,23582768,47170057,225074423,182972628,366970081
51079,72333,82666,117282,185087,258899,494789,1029855,1893876,4788866,7567738,22600634,51368635,211252634,184974028,361496563
50437,72817,82112,125984,194669,264982,466970,1088722,1957765,4437768,6973262,23575853,47428746,224403831,182534826,362562492
61476,66273,83924,118783,187292,260679,540307,1659750,1873241,4711997,7754626,22673304,46716635,211855603,184076921,360949508
52341,77841,86506,120232,173679,298069,533521,938274,1938576,4473897,6879604,23782103,47266112,226326174,183248197,362967478
50803,75069,77022,117125,182230,277123,520989,1890944,1927895,4754348,7659085,22889874,46987729,212459352,185920264,364999651
51089,72765,79614,112735,194310,269292,511493,937710,1982330,4388581,7276752,23637486,46684744,223984298,184360852,369998091
51100,69789,84747,120797,194355,271728,534793,1035879,1941752,4761208,7588557,22679442,47012094,210576994,184365868,359132505
59585,72789,82635,114319,207002,279040,494955,1623937,1932894,4286144,7088514,23682580,46252283,224111167,184948119,362128943
48864,74755,85580,117063,176439,280864,487876,915793,2417349,4675167,7547945,22541946,47336940,212581163,184549634,359470277
50353,70903,85272,130457,195588,276490,517717,1925032,2007696,3593003,7204809,23808152,46934147,227390970,183957367,358265560
53690,78689,78589,114750,177811,297206,481517,918193,1994495,4916736,7489563,22786468,46448082,212711593,186750713,360833865
50814,75812,85135,121474,192051,272073,501403,1022454,1991628,4482731,7005185,23531006,48697834,270436548,183498347,363420075
48919,54282,78452,126178,172664,271493,491928,1813944,1873109,4733413,7556851,22540449,47478912,257643975,185274778,362445503
54545,76246,83235,120930,184651,270192,512765,933700,1959665,4475452,6997096,23620493,48052176,221144288,183912914,362770082
52968,70730,83496,127246,185183,277462,517202,1869719,1933861,3483336,7496173,22865466,46465233,257295965,183433180,365306419
55343,86448,89616,115617,197991,277591,489469,908796,1943663,4639286,7144120,23779198,46911715,271492794,182924881,358827513
52442,75532,84987,117562,189783,282550,514219,1133857,1890859,4775094,7819908,22753587,47160913,207085539,182586461,365774791
53249,57222,83610,131914,176327,262641,511264,1831609,1952511,3489367,7019301,23743010,46836263,226923296,182552028,364463983
52672,70893,78141,128765,195400,280374,490594,976411,1887745,4868545,7742173,22634843,49281065,256919263,184802721,375360311
52241,82212,75653,123446,195126,247917,499409,2109839,1958718,4453255,7058218,23433781,47858477,263071659,183728723,370290750
49114,64634,81742,123504,188543,269026,470362,963561,1916985,3628188,7662642,23070928,47976835,256719732,185032112,371791830
51569,68943,83184,115379,190889,239468,489582,1072326,1936525,4594411,6962181,23713514,46734719,269750874,182663556,370465103
49971,61639,83098,125498,189428,262939,476339,1762223,1900676,4541771,7753487,22657062,47126504,255868166,186002595,368568633
48703,74256,80587,114136,184923,242834,480416,966522,1955767,3634015,6911911,23655113,47263659,225969671,183133179,375629333
48907,70536,95917,120055,236431,289883,513849,2111408,1838721,4737764,7719484,22748582,46750818,256464602,183706880,375092729
53028,77376,82343,124644,187777,252787,473818,989611,1839415,4299550,6918696,23469500,48566259,226424145,184809356,367911008
57222,79935,87674,121323,188272,262956,488117,1101284,1785172,3586548,7839642,22889535,48232826,256928676,186757079,368396418
51714,72684,81285,117293,181556,258163,492999,1778526,1879293,4553465,6834357,23486025,47490739,236120430,183048118,372585416
49135,65567,83688,123346,186650,278200,471698,973476,1869835,4479563,7400829,22610345,46972788,256930552,185033878,364899503
51170,74866,82881,113389,193368,275299,490013,2042868,1942148,3646686,6738398,23403603,47288221,264159865,183044937,374029586
47959,66748,76132,118422,181563,284380,486016,977288,1842866,4511614,7733145,22694763,47785668,258673577,183947369,382194058
49570,65415,91223,118403,192799,262480,473566,1085489,1825456,4388978,7112163,23261786,47744786,265011658,185705929,371742415
47394,60102,79628,117963,182722,283363,509111,1754861,1808716,3578697,7598146,22653471,47191391,257684499,185872904,371312373
47905,79841,91581,116682,193983,250191,502510,978276,1826577,4609813,6822753,23847027,47023261,265413264,183828922,367896508
47849,75893,91836,139913,174517,259452,462541,2004961,1791778,4432434,8532394,22656875,47243662,257289856,186423821,367172148
53461,71653,90502,125999,194309,275837,479829,981511,1948781,4286255,7443682,23686156,46404464,264977664,184405952,374484548
52321,67730,83103,118764,179596,283917,470951,1152005,1853240,4462978,8108683,22566217,47161117,259145422,185190587,378437083
53400,68961,86356,122389,183327,252874,483096,1890017,1829725,3605522,7399140,23773248,47538972,264087256,184555930,366130694
52136,94171,77602,125278,184486,264162,477007,1008030,1886678,4720921,8145400,22783924,46756716,257992174,184941280,368291042
52052,81065,83210,130902,191701,271291,481469,2102324,1825944,4372436,7492480,23829426,47326912,270937553,184252744,368536246
52575,80890,79896,121670,194602,264077,503329,1013501,1812111,3493112,8181793,22905025,46340650,210800506,183802572,367354170
52290,54292,87700,119165,181700,243754,473344,1112722,1923113,4595188,7557188,23628906,46698047,226359742,183231915,370679843
60770,65367,105627,117746,189593,256913,472749,1792337,1827626,4432724,8194387,22852865,46977132,265535538,185408556,369332160
51402,67351,82070,118913,192828,245304,490350,1023061,1843880,4242361,7321385,23845185,47224390,225251637,182736932,369272518
48405,71909,82329,121715,182929,261383,466042,2144812,1878836,4505936,8357094,22488362,46064900,212221255,184690728,373598053
48515,82836,83017,121717,185673,235402,489813,1010439,1909929,3550312,7500855,23881822,46938941,219596759,182921306,370327000
59204,72335,81815,121378,186358,275424,475015,1127102,1873709,4665382,8285780,22616685,46424246,249630702,183675527,368370287
47181,71915,86462,126874,186464,250448,474862,1793582,1964135,4048792,7421981,23561896,47465712,225317865,184824814,368072022
48581,80219,82476,121221,184367,257143,495167,991846,1861345,4114641,8255114,23143701,46162929,212987754,184470618,369346353
47516,92382,88853,120031,176421,252608,492171,2109087,1843852,4278525,7543482,23827538,47220643,222337094,185294115,368188903
47822,80450,87199,127984,185641,256534,476091,974535,1986303,4494452,8295896,22765388,46875550,253971144,183813747,366621457
48369,75962,88174,117545,194448,252180,488127,1070858,1985939,4388789,7490942,23828012,46712994,276607918,185257682,373289248
47781,56262,82479,110579,192625,267558,469722,1706459,1975228,3518296,8124199,23180825,46705429,252367665,184847054,370431311
47189,85337,80929,123695,188859,249339,496522,1093117,1989032,4446185,7617225,23808153,46891728,276975984,186173908,365296515
47139,59338,77478,121017,189039,264963,452912,2185716,1924924,4718367,8294570,23086134,46649207,253723795,184476227,365594761
47686,69794,77220,121245,186917,242303,474213,991632,1941733,4517272,7954702,23869058,47065293,283107912,184922385,364789941
48747,64916,80439,121206,194365,252548,511007,1085950,1990878,4566366,8428898,22884318,47035131,252015215,185560728,375310827
49279,77546,82919,118815,192979,257726,471071,1760478,1978546,4121350,7434481,24046738,47330736,276631700,183605436,369681929
50768,77062,79060,122986,201215,267723,480139,961049,1973029,4510932,8340433,23020212,46681310,252868135,184361619,373111973
50790,74057,80349,119195,200414,254073,489305,1976388,2006171,4296914,7678813,23813751,46714755,276466787,185602622,373261276
52015,69855,77167,120532,183704,262609,480847,942966,2082941,4606543,8344808,23038929,49322467,252460170,184015629,380254663
50518,74616,79577,124187,200206,246389,484152,1097418,1980848,3493037,7883207,24206802,48237117,275344263,184134696,384720460
57189,73469,78217,118058,190559,298075,485121,1737359,1984533,4809241,8388565,23006474,48293177,250838979,181783833,368841659
50059,76377,82501,122519,190518,250425,484896,942238,1984661,4397999,7490019,23973298,48169477,275222090,181347105,367242073
51531,84454,93551,122064,176755,255492,493324,1884065,1944289,4681016,8301554,22827069,47268679,249461774,180750930,368608779
57113,85564,80542,123006,183534,234611,479913,932574,2037149,4458583,7801493,23994886,48339660,275776200,184901629,366106298
51098,71009,78710,121801,177818,267032,467846,1062564,6330280,4533757,8233919,22711048,46928116,250661566,182710513,366694400
50346,61234,78757,116695,193249,240102,494776,1646824,2059031,4395321,7626404,23573190,46221457,275575321,186333607,371863411
46267,80213,81143,116882,191471,256698,467856,951018,1904325,4625468,8357954,22857049,47001773,251546345,181468720,370644222
44911,85547,80480,118572,177010,245242,488487,1895296,2101793,4318854,7706506,23788958,50674311,275724193,182647340,370107598
44999,70037,78660,114404,188130,268798,463122,927843,2029258,4519784,8472231,23066553,45865998,251080948,180785016,367885974
46646,76582,83761,117689,190687,258883,469650,1056206,2077625,4387189,7658599,23796556,46239998,275553610,182594873,362306029
45211,81962,82001,118397,187502,251065,490459,1916883,2019558,3425540,8488183,22878953,46075470,264927260,179629846,356002488
47808,75651,84419,111835,192203,259584,1703926,992453,2077535,4590553,7655543,24210836,48004322,275580197,182590945,358121944
44797,60991,80931,143247,179970,262085,3874019,2040656,2038736,4594846,8547476,22945098,46801998,253888178,182252883,361313595
