FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
152598,258955,455876,766559,1405251,2530886,4897359,9399923,17977225
154250,261306,423141,736168,1407519,2587924,4910446,9395222,19361788
151085,254302,447021,739722,1407663,2589850,4850256,9397645,17251610
152458,255967,444613,758027,1393244,2639934,4871294,9334227,17462712
151912,261663,435425,761275,1404502,2644846,4921173,9432741,19409699
150631,261625,512544,767015,1400107,2623354,4884394,9327416,17783461
154125,253698,447170,752548,1413446,2553909,4922127,9717410,17546651
153917,254075,447119,746139,1397021,2656628,4870277,9310057,19462366
152924,260618,443035,757218,1411279,2601289,4847091,9390427,17554525
152740,255383,437103,765415,1463742,2652676,4861610,9357208,17814624
151141,261044,449741,746734,1411897,2507633,4836579,9437727,19305959
153414,259605,436798,763320,1386139,2529571,4929028,9325885,17642866
149370,258443,435766,768106,1407153,2503899,4861382,9306774,18134469
150902,258222,438505,757764,1388403,2528617,4815903,9301359,19456229
152469,260819,426798,761431,1423252,2706467,4826692,9409013,17558905
156328,262113,431760,752526,1436485,2579316,4903262,9516630,17728978
154251,256337,422743,751441,1407253,2597138,4866720,9317207,19374996
156200,258022,420661,761845,1399861,2599137,4872811,9344228,17858162
154610,258673,441378,762514,1480246,2583313,4872826,9371248,17931201
152679,261831,450083,740994,1396876,2559269,4888750,9332063,19483656
153619,256052,445152,743479,1407425,2609239,4935269,9670857,17669929
153436,259709,429446,750413,1420564,2533962,4937082,9360622,17842115
155974,258134,448753,744779,1440289,2588952,4768882,9295886,19340868
155659,259379,455598,738501,1437380,2562651,4848922,9307276,17282910
154720,254923,442394,753999,1407937,2583650,4775433,9287231,17879123
156267,258403,448663,739609,1395083,2546092,4939232,9336431,19571704
153226,256929,448208,739227,1405294,2523144,4759188,9442552,17583809
155154,263253,451579,759299,1487757,2542852,4900250,9323010,17814216
151628,258584,420093,744759,1432688,2496278,4817566,9367469,19424912
150907,257976,437044,747624,1442221,2600797,4874262,9320669,17700823
154360,260503,447333,753271,1408085,2632391,4849817,9356782,17396972
157515,257343,436632,742998,1420154,2610439,4949820,9376294,19476158
155605,260242,432219,752544,1416333,2624164,4859413,9371094,17624154
154666,258216,435109,758558,1390731,2624549,4817783,9799076,17951314
150811,257299,425737,752971,1421493,2606526,4833240,9429237,19459351
154228,257284,445872,735999,1394425,2598841,4824168,9561703,18358466
150369,327728,508118,761878,1407568,2592142,4853254,9388306,17901977
155584,263235,452089,757757,1399309,2577253,4917947,9277389,19555726
148045,262871,427133,754541,1413073,2629510,4851134,9282680,17633028
153874,262672,439600,749610,1410642,2523260,4906206,9288609,17823639
152940,255333,434277,755686,1435126,2611517,4840682,9344655,19280569
154770,255155,433010,753969,1447944,2650327,4866038,9462029,17758744
154759,259360,427439,749909,1409234,2623093,4836340,9389045,17890607
155614,260526,452381,736597,1399476,2631461,4855595,9314182,19366229
152069,260817,450287,750642,1412806,2597786,4790723,9449296,17793036
154021,256472,443585,765440,1397755,2564622,4810392,9414948,17829840
152684,259457,447117,740834,1444698,2466651,4845365,9353633,19430128
156945,253682,445828,747934,1401817,2557269,4883952,9864147,17794336
152331,258820,423755,757896,1406772,2591170,4815718,9362801,17945825
155135,257528,439065,815729,1406232,2510800,4879211,9312412,19360674
152517,258004,427961,743265,1406894,2588984,4871851,9368320,17595808
153807,258080,433867,768855,1393544,2614190,4865088,9472070,17835647
151079,259745,450191,743320,1413228,2570204,4884731,9361317,19633917
155290,260496,423080,744256,1393134,2764611,4883475,9419884,17570852
151838,254698,425440,754632,1409953,2629683,4928069,9395689,17942182
155095,262292,449606,758835,1399282,2574155,4885028,9421337,19322817
150050,264798,444926,751950,1404192,2612955,4882588,9349608,17659363
159740,262384,436063,750053,1453515,2545951,5462574,9302464,17594160
