x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144
531909,987597,1872280,3652436,7185502,13949764,27722609,51574249,71801299,121565769,184785848,292580122,556113909,1090047003,2060856076
533964,987132,1871297,3646875,7193886,14577816,27660117,102596238,60725931,129384834,162485337,293673721,559036492,1065212439,2064435334
536345,988215,1867603,3646502,7193220,13987426,28308696,80858462,69886942,112609113,161830067,294171010,564390889,1062501719,2096398826
532708,982985,1866909,3651689,7179432,13991076,27661565,75624880,68313091,113286579,150037589,288860179,578155392,1065213689,2061076124
536086,981685,1871453,3648352,7184305,14342075,28676114,63038280,67005408,114472881,176251545,298900224,585581593,1072794903,2071202540
530748,985259,1875239,3652039,7186875,13991679,27640743,58338211,86065067,122363856,204749131,340510356,542854506,1074614746,2074234609
532903,986504,1875034,3653191,7174097,14501755,27642599,86477048,88045236,113547309,164759451,292606967,551850065,1083443818,2067614928
532809,987965,1872299,3649603,7177271,13954410,28556921,104177257,93603289,103440441,182667243,298164303,566739943,1089393989,2087995922
531938,987724,1874983,3652218,7171561,13996817,26787146,71689723,54702446,119229409,166587901,293558577,555907641,1106796562,2060161309
535188,984386,1875726,3649353,7192675,14380149,28858143,82024811,80933087,87583505,185309751,304327283,558665551,1075084707,2076466020
533197,983976,1873187,3648950,7196804,13955496,27136782,95088242,86373669,85302657,184136035,315558475,547741646,1057014935,2088139291
529967,985605,1884670,3650905,7176802,14478657,25655019,95737500,87382263,118812030,172825236,292683777,561322125,1067354563,2042578882
533987,987984,1904338,3652027,7176646,13972834,25432006,50156328,54898281,101993968,197740059,285311286,553672278,1087371897,2052165035
533539,989898,1890180,3651234,7187129,13919085,27618858,59401868,85577003,118639039,170209147,279630011,550695651,1091197782,2046633864
533621,989605,1878716,3652828,7175117,14284151,28242523,76331758,84995478,102935536,174264971,307342103,558595373,1073510591,2113442723
534742,989284,1874100,3650887,7177281,14011180,27665507,68834132,80167504,113973136,206714130,275242805,542332459,1059933789,2080372868
536188,986137,1870685,3654502,7152878,14487920,27685250,89225833,84687532,119430014,163338133,314617195,551240388,1101733693,2106349586
532162,986105,1873703,3653752,7192218,13952768,28332851,56929451,102240707,113394082,169320932,317194242,553730861,1080235319,2063301327
533555,987044,1874032,3653524,7192750,13950931,27695653,47575340,82437196,121108798,195047172,307876713,562297705,1087840498,2046379356
532218,989551,1873132,3652668,7185302,14346809,28879460,56159656,95532752,141905740,181841376,335028435,588615014,1088584594,2061073021
531358,986090,1872331,3657884,7186097,13974672,27714602,56541446,94150982,115269155,220452065,293355928,548514380,1106421270,2076555306
532356,987502,1877472,3665341,7155608,14466777,27642081,79326902,91465994,125212579,169434851,326203527,547300122,1117767473,2050525692
530286,985538,1876107,3658939,7165966,14039387,28333596,83362784,117061659,115331719,180814612,305389598,556612570,1063407383,2100328819
540539,982937,1892234,3656099,7182842,13970581,27672604,70162544,78934298,128040599,181929931,283267805,557831911,1089507902,2065150008
536311,989055,1903842,3659500,7182706,14371249,28785112,72393057,74637531,113179213,175832059,288669118,562189924,1076767471,2094412668
532811,986886,1886852,3659236,7205010,14030773,27631699,102679263,83196420,118254157,190872321,289058814,549356929,1082121357,2085431020
538459,984974,1881823,3648987,7195099,14484700,27665641,63585962,65039058,122655957,178915679,321214097,561667243,1081421117,2059655449
536529,983095,1874625,3650228,7165001,13978119,28502266,98121491,72857871,123457812,181200923,282333622,580823483,1086175448,2081970389
533312,983601,1871473,3658969,7188454,13980607,27067537,74661750,87594755,106084317,166111310,288003749,552550153,1099315922,2094848990
535619,985636,1871010,3650384,7184417,14278627,28914751,52868991,85032875,115023391,191405532,288744725,551462927,1088843019,2117729342
538490,990124,1872332,3651946,7182555,14003532,27602027,41326808,93133815,107874086,180156208,284550036,545143402,1138265636,2084190228
535883,987955,1899409,3650587,7200644,14469051,27545867,60468959,90767195,129836759,172648046,297478241,539627338,1115845182,2056291581
538235,987888,1886340,3655400,7195586,13953258,28143087,60961033,76564416,152344884,175189449,306856834,572902496,1143144479,2059287021
539748,985898,1882633,3650868,7200311,13926266,27506220,94102627,82961750,108432527,165401551,315934850,561988235,1137514845,2095997487
536264,988606,1878999,3649482,7148229,14294579,28344442,92810527,92905094,132114438,179093304,328560629,570006674,1073232316,2049280784
534691,987049,1878222,3658178,7165663,13993906,27542332,47586452,89523240,96262830,180343622,307335574,608103586,1117330655,2054827305
533028,985418,1876539,3653433,7230145,14488527,27488334,105800709,100051809,110976508,162511269,316194684,541798869,1062520848,2076549610
530175,987705,1870563,3652028,7313472,13961211,31781159,65225556,71139662,108219322,205626906,320682631,537831911,1074331852,2058923038
533301,985040,1874960,3653572,7260494,13930666,27662774,72557014,88761013,138526405,203291037,325343396,572135834,1081909823,2068283615
531444,987343,1877081,3653037,7246147,14350820,28691635,93852045,97208190,111092767,177148534,293139647,569161585,1104823712,2086470568
532509,989180,2288989,3651621,7121992,14014818,27637717,78939432,90800061,149333561,171167844,299739886,563029691,1086968644,2071208166
538087,988691,1870882,3653468,7202384,14471831,27626655,67577831,84392293,129783983,194765846,279728684,536116344,1119977583,2062543440
531692,990343,1871853,3657442,7206140,13950563,28258706,90898538,82143444,139119276,183670613,317927319,556700392,1095446240,2061834593
532421,989646,1883248,3650867,7197727,13906369,27658828,57323149,86944488,127239823,168927125,305926690,563638628,1108931376,2046549807
534604,985402,1874604,3649376,7202560,14390495,28942408,93317122,77355959,125438488,174394516,333976670,558306002,1123750318,2074506466
528796,986176,1877776,3646599,7199549,13987071,27622460,54277927,93329970,151573292,176837032,343676325,573905398,1110370101,2090256230
532693,989522,1886940,3653058,7174302,14485133,27536286,85343008,82638327,118823102,172855117,313834869,553674758,1152626405,2077701996
534269,989262,1876463,3651128,7197545,14023204,28117794,66344283,90447211,117801932,165202286,300621115,550755061,1069773790,2062800967
529859,986342,1874202,3651280,7190393,13978948,27533473,91372885,87596097,125954057,210570669,307751886,583092288,1086901718,2053706986
533870,985026,1881294,3653890,7186528,14309589,28506271,80935229,83800796,111804896,176119752,298861553,570332678,1093491809,2051067998
532141,984760,1869763,3657427,7179149,13965672,26820666,91840367,86048617,120567805,202986149,310922882,598395691,1063034334,2061521950
533564,984185,1870781,3650600,7169193,14508923,27573618,55189097,79055424,143079728,173886591,298239940,581680683,1074416523,2056176537
534706,987275,1867998,3651549,7182708,13985641,28313995,73528238,61855323,128786734,179013465,300136972,543429783,1123330078,2091805456
529695,989148,1870133,3649698,7190726,13918648,27687254,64557697,90258625,132060974,176591983,291444374,540571951,1061585616,2043414193
530749,986392,1876762,3651167,7155666,14331565,28485016,69314303,88595543,118602841,173547431,297986937,587903669,1061981761,2061640476
535703,984859,1878976,3646793,7185444,13934663,27673258,56866916,82186385,130055097,178876581,292988773,551017080,1053358463,2015926054
531692,985406,1883935,3647520,7189005,14526663,27646632,72633299,88083601,109101978,202394135,301247006,587110245,1089684308,2071725816
539634,983365,1869344,3648941,7186676,13988095,28361029,75491155,101545990,99456222,158116111,333910594,569720235,1094660067,2052968846
536461,986324,1873612,3651410,7172306,13943148,27679983,47108371,60848352,111879160,195168381,292574902,553005792,1054024212,2055446334
532550,990299,1873086,3650562,7157398,14326753,28628973,53155559,76815137,127375258,173920536,275559232,557683368,1074598658,2056362050
535464,990022,1877317,3649050,7183432,13964352,27589768,59066421,88932934,129923403,154439681,300398705,548825906,1074782971,2067740879
536703,983270,1871687,3655152,7194151,14453819,27621218,97277724,62681360,106373652,165655027,312953970,554384638,1047027443,2075069489
533965,986265,1872347,3665662,7176414,13992311,28322035,75591392,76629454,128834918,161744081,278655177,551158834,1050154592,2077334944
534328,984616,1884100,3657342,7184797,13954743,27689938,84214177,82000712,153510421,180539915,292493923,556625974,1069926761,2068579595
535605,985416,1897869,3649800,7186932,14339896,28646033,50486088,65056710,100796987,159200627,282062592,543852238,1081591099,2071291740
535349,988138,1879921,3652827,7171792,13941899,27681953,68574308,81616176,115420053,160809947,320540683,534928757,1055165899,2045818550
530451,983164,1877025,3653931,7179894,14502525,27622126,48715673,80553726,103575749,172264700,323778697,559465014,1068150534,2051880323
531332,987469,1880406,3651551,7187344,13941945,28207573,51402583,81882712,119400693,173146904,326968853,547722570,1072347402,2053185859
531189,982820,1877862,3654186,7189862,13947552,27537496,48978061,82099918,116385220,163562112,294777213,552520439,1134226673,2048713294
532741,986796,1872159,3655454,7188607,14312961,29002079,51058684,81785536,125658038,164161219,302103717,542290339,1088428055,2046191164
530684,987559,1875681,3654110,7155919,13999575,27469126,59172747,87735838,136958432,186976977,321250389,570288887,1071196268,2037893161
539338,985214,1873554,3647192,7172626,14467944,27535438,95576772,94371509,96207245,183710927,287099508,545871546,1081025376,2075077565
536888,983079,1867589,3684588,7184791,13951252,28191212,49856924,63483412,122523163,166128784,299569818,572752358,1075992366,2060720356
538999,987830,1868864,3667450,7181329,13975832,27511568,85629629,85692310,102398655,156896671,343228570,561787994,1145349969,2101123494
540179,1000270,1871694,3677756,7176418,14319289,28841149,54139563,76987485,99670802,175704518,286977455,539307650,1191580532,2048086116
538541,989275,1874174,3657991,7184792,13975308,27031550,90124187,76870782,173874576,196140552,285647705,565830928,1076979921,2051014151
537300,985365,1877412,3654037,7196788,14486296,27690701,88865877,93525942,173482259,195624704,310244953,547250586,1164801274,2057103327
534736,983466,1878255,3653178,7189328,13977700,28338207,67083488,97227980,162582234,171040630,319929344,562764369,1071445658,2086287580
533857,982544,1889190,3652675,7190407,13985357,27661606,92817079,55708779,118788810,171874091,290420137,567888812,1066917541,2067463715
532221,985187,1873658,3654969,7159012,14327195,28690488,69985152,92891982,153267633,176328156,311160085,583784615,1062071878,2047823067
535405,984468,1874536,3659267,7188078,13951585,27652910,112220216,84733002,153940719,157826309,330251403,578128055,1094113901,2073317296
534227,984975,1873819,3653130,7181492,14502346,27641539,48115006,82293794,110841280,158931721,292005474,559288940,1107513568,2106872653
